Community Name,SPA,SD,CD,SSD,AD,USCD,totStreetSingAdult,totStreetFamHH,totStreetFamMemb,totCars,totVans,totCampers,totTents,totEncamp,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totEncampPeople,totEsAdultSingAdult,totESAdultFamHH,totEsAdultFamMemb,totEsYouthSingYouth,totESYouthFamHH,totEsYouthFamMemb,totEsYouthUnaccYouth,totThAdultSingAdult,totTHAdultFamHH,totThAdultFamMemb,totThYouthSingYouth,totTHYouthFamHH,totThYouthFamMemb,totThYouthUnaccYouth,totShAdultSingAdult,totSHAdultFamHH,totShAdultFamMemb,totShYouthSingYouth,totSHYouthFamHH,totShYouthFamMemb,totShYouthUnaccYouth,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople
Pacific Palisades,5,3,11,26,50,33,82,0,0,7,2,4,16,42,11,4,8,25,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,198
Pacoima,2,3,7,18,39,29,75,0,0,18,19,53,0,14,30,33,103,0,23,142,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,264,147,5,0,152,416
Palmdale,1,5,0,21,36,25,72,0,0,3,0,51,10,17,6,0,99,16,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,220
Palms,5,3,5,26,50,37,67,0,0,13,11,9,4,16,21,19,18,7,27,6,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,159,6,40,0,46,205
Palos Verdes Estates,8,4,0,26,66,33,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
Panorama City,2,3,6,18,46,29,50,0,0,7,2,12,1,13,12,4,24,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,115
Paramount,6,4,0,33,63,40,22,0,0,4,2,2,0,8,7,4,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50
Pico Rivera,7,1,0,32,58,38,34,0,0,8,1,24,0,5,13,2,48,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,105
Pico Union,4,1,1,24,53,34,88,0,0,22,15,10,4,20,35,25,20,6,32,0,0,0,0,0,0,0,0,0,0,4,2,3,0,0,0,0,0,0,0,0,206,0,7,0,7,213
Pomona,3,1,0,20,52,35,220,1,3,11,10,14,16,32,18,18,28,26,53,127,3,10,6,0,0,0,5,13,46,0,0,0,0,0,0,0,0,0,0,0,366,143,51,0,194,560
Porter Ranch,2,5,12,27,38,25,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
Rampart Village,4,1,13,24,51,34,56,0,0,5,10,9,35,32,9,17,18,55,52,0,0,0,0,0,0,0,0,0,0,13,23,55,0,0,0,0,0,0,0,0,207,0,68,0,68,275
Rancho Palos Verdes,8,4,0,26,66,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Redondo Beach,8,4,0,26,66,33,79,0,0,7,10,20,9,33,12,18,40,14,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,216
