censusTract,Year,City,CommunityName,Detailed_Name,SPA,SD,CD,SSD,AD,USCD,DemogSurveySample,YouthCountSample,totStreetSingAdult,totStreetFamHH,totStreetFamMemb,totCars,totVans,totCampers,totTents,totEncamp,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totEncampPeople,totEsAdultSingAdult,totESAdultFamHH,totEsAdultFamMemb,totEsYouthSingYouth,totESYouthFamHH,totEsYouthFamMemb,totEsYouthUnaccYouth,totThAdultSingAdult,totTHAdultFamHH,totThAdultFamMemb,totThYouthSingYouth,totTHYouthFamHH,totThYouthFamMemb,totThYouthUnaccYouth,totShAdultSingAdult,totSHAdultFamHH,totShAdultFamMemb,totShYouthSingYouth,totSHYouthFamHH,totShYouthFamMemb,totShYouthUnaccYouth,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople
541700,2016,Lynwood,Lynwood,Lynwood,6,2,0,33,63,44,No,No,8,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
541801,2016,Lynwood,Lynwood,Lynwood,6,2,0,33,63,44,No,No,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
541802,2016,Lynwood,Lynwood,Lynwood,6,2,0,33,63,44,No,No,5,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11
542000,2016,Compton,Compton,Compton,6,2,0,35,64,44,Yes,Yes,15,0,0,0,0,2,0,2,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22
542103,2016,Unincorporated Compton,Unincorporated Compton,Unincorporated Compton,6,2,0,35,64,44,No,No,6,0,0,1,1,2,0,1,2,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16
542104,2016,Unincorporated Compton,Unincorporated Compton,Unincorporated Compton,6,2,0,33,63,44,No,No,4,0,0,0,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
542105,2016,Compton,Compton,Compton,6,2,0,35,64,44,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,29,84,0,0,0,0,0,0,0,0,0,0,0,1,0,89,0,89,90
542106,2016,Compton,Compton,Compton,6,2,0,33,63,44,No,No,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
542200,2016,Compton,Compton,Compton,6,2,0,35,64,44,No,No,7,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
542401,2016,Compton,Compton,Compton,6,2,0,35,64,44,No,No,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
542402,2016,Compton,Compton,Compton,6,2,0,35,64,44,No,Yes,4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
542501,2016,Compton,Compton,Compton,6,2,0,35,64,44,No,No,16,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18
542502,2016,Compton,Compton,Compton,6,2,0,35,64,44,No,Yes,7,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
542601,2016,Compton,Compton,Compton,6,2,0,35,64,44,No,No,0,1,2,0,1,14,0,0,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,31
542602,2016,Compton,Compton,Compton,6,2,0,35,64,44,No,Yes,0,1,2,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
542700,2016,Compton,Compton,Compton,6,2,0,35,64,44,No,No,13,0,0,1,1,0,0,2,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20
542800,2016,Compton,Compton,Compton,6,2,0,35,64,44,No,No,1,0,0,0,2,4,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12
542900,2016,Compton,Compton,Compton,6,2,0,35,64,44,Yes,No,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
543000,2016,Compton,Compton,Compton,6,2,0,35,64,44,No,No,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
543100,2016,Compton,Compton,Compton,8,2,0,35,64,44,No,No,0,0,0,0,0,6,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11
543201,2016,Compton,Compton,Compton,6,2,0,35,64,44,Yes,No,4,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
543202,2016,Compton,Compton,Compton,6,2,0,35,64,44,No,Yes,21,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,23
543304,2016,Carson,Carson,Carson,8,2,0,35,64,44,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543305,2016,Unincorporated Compton,Unincorporated Compton,Unincorporated Compton,8,2,0,35,64,44,Yes,No,0,0,0,0,0,35,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,67
543306,2016,Carson,Carson,Carson,8,2,0,35,64,44,No,No,2,0,0,1,1,2,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
